iter	Passed	Remaining
969	71967	298998
970	72045	298940
971	72111	298833
972	72176	298720
973	72249	298640
974	72316	298536
975	72381	298424
976	72445	298309
977	72511	298200
978	72574	298079
979	72638	297965
980	72702	297851
981	72772	297757
982	72842	297668
983	72913	297583
984	72972	297445
985	73044	297362
986	73121	297300
987	73193	297219
988	73261	297120
989	73334	297039
990	73402	296942
991	73469	296839
992	73530	296712
993	73607	296650
994	73672	296540
995	73731	296408
996	73800	296311
997	73876	296245
998	73938	296125
999	74036	296144
1000	74123	296125
1001	74193	296034
1002	74257	295919
1003	74323	295814
1004	74393	295722
1005	74460	295621
1006	74523	295505
1007	74584	295377
1008	74656	295295
1009	74722	295190
1010	74784	295068
1011	74862	295012
1012	74932	294922
1013	75007	294851
1014	75068	294728
1015	75135	294626
1016	75205	294535
1017	75272	294435
1018	75339	294335
1019	75410	294248
1020	75479	294155
1021	75550	294068
1022	75615	293961
1023	75690	293890
1024	75758	293793
1025	75831	293718
1026	75898	293617
1027	75959	293491
1028	76030	293408
1029	76103	293330
1030	76185	293289
1031	76264	293235
1032	76349	293203
1033	76431	293158
1034	76500	293065
1035	76561	292943
1036	76636	292875
1037	76698	292754
1038	76758	292629
1039	76830	292546
1040	76895	292439
1041	76962	292338
1042	77029	292238
1043	77098	292147
1044	77180	292103
1045	77242	291983
1046	77312	291897
1047	77376	291786
1048	77438	291669
1049	77500	291549
1050	77559	291420
1051	77624	291313
1052	77694	291226
1053	77764	291139
1054	77840	291070
1055	77904	290961
1056	77967	290847
1057	78041	290773
1058	78113	290695
1059	78183	290607
1060	78247	290497
1061	78316	290404
1062	78388	290325
1063	78452	290215
1064	78514	290098
1065	78583	290007
1066	78659	289940
1067	78735	289877
1068	78804	289784
1069	78876	289704
1070	78942	289604
1071	79015	289528
1072	79082	289427
1073	79155	289354
1074	79220	289245
1075	79283	289135
1076	79359	289067
1077	79421	288954
1078	79491	288864
1079	79551	288740
1080	79614	288631
1081	79686	288551
1082	79756	288462
1083	79827	288379
1084	79894	288282
1085	79956	288165
1086	80026	288081
1087	80113	288056
1088	80181	287961
1089	80251	287876
1090	80322	287790
1091	80389	287692
1092	80460	287609
1093	80523	287500
1094	80590	287401
1095	80654	287295
1096	80721	287197
1097	80804	287158
1098	80894	287142
1099	80961	287044
1100	81035	286974
1101	81117	286929
1102	81198	286883
1103	81279	286832
1104	81374	286836
1105	81450	286770
1106	81517	286672
1107	81583	286573
1108	81659	286507
1109	81728	286418
1110	81792	286311
1111	81867	286242
1112	81929	286126
1113	82006	286064
1114	82066	285943
1115	82136	285857
1116	82211	285788
1117	82277	285688
1118	82345	285595
1119	82414	285508
1120	82480	285406
1121	82541	285289
1122	82613	285211
1123	82682	285120
1124	82744	285010
1125	82816	284928
1126	82878	284815
1127	82947	284729
1128	83024	284665
1129	83095	284582
1130	83160	284480
1131	83236	284417
1132	83298	284302
1133	83364	284202
1134	83430	284105
1135	83501	284024
1136	83562	283907
1137	83636	283834
1138	83696	283716
1139	83757	283601
1140	83827	283513
1141	83892	283412
1142	83953	283296
1143	84021	283204
1144	84092	283123
1145	84158	283024
1146	84225	282931
1147	84297	282850
1148	84361	282747
1149	84434	282671
1150	84496	282559
1151	84563	282464
1152	84644	282419
1153	84712	282326
1154	84792	282275
1155	84859	282180
1156	84921	282068
1157	84991	281984
1158	85060	281895
1159	85135	281826
1160	85246	281878
1161	85310	281774
1162	85391	281725
1163	85457	281627
1164	85522	281527
1165	85594	281448
1166	85663	281361
1167	85742	281307
1168	85825	281262
1169	85891	281167
1170	85956	281064
1171	86022	280967
1172	86101	280911
1173	86180	280856
1174	86262	280811
1175	86341	280757
1176	86412	280674
1177	86479	280582
1178	86555	280516
